application_id,state,sector,investment,employees,approval_count,document_count,missing_document_count,inspection_required,department_count,previous_queries,project_stage,applicant_type,season,authority,sla_days,actual_processing_days,delayed
APP_SYN_0068,Uttar Pradesh,Pharmaceuticals,63584799.85,455,8,24,0,0,5,0,Pre-Operation,Enterprise,Q2,UP Fire Service,30,29.9,0
APP_SYN_0069,Karnataka,Information Technology,12721202.4,266,8,32,0,0,4,0,Pre-Establishment,Enterprise,Q2,CEIG,15,12.3,0
APP_SYN_0070,Rajasthan,Food Processing,6414081.24,16,4,12,1,1,3,1,Pre-Establishment,MSME,Q3,Directorate of Factories,60,87.3,1
APP_SYN_0071,Tamil Nadu,Manufacturing,5854857.47,21,3,12,3,0,1,1,Pre-Operation,MSME,Q2,Boilers Directorate,20,23.7,1
APP_SYN_0072,Tamil Nadu,Information Technology,3714073.66,21,4,16,2,0,1,0,Operation,MSME,Q2,FSSAI,20,21.8,1
APP_SYN_0073,Maharashtra,Chemicals,3676502.34,157,9,45,0,1,3,0,Pre-Operation,Enterprise,Q1,UP Fire Service,15,16.2,1
APP_SYN_0074,Uttar Pradesh,Information Technology,43062526.18,14,2,10,0,0,2,0,Pre-Establishment,MSME,Q1,Legal Metrology,20,14.3,0
APP_SYN_0075,Uttar Pradesh,Pharmaceuticals,4430151.35,72,5,20,2,0,3,0,Pre-Operation,MSME,Q4,UPPCB,60,65.5,1
APP_SYN_0076,Tamil Nadu,Manufacturing,1099632.4,19,1,4,0,0,1,0,Operation,Individual,Q3,FSSAI,15,10.7,0
APP_SYN_0077,Karnataka,Manufacturing,961221.78,18,2,8,4,1,1,0,Pre-Establishment,Individual,Q1,UPPCB,30,38.5,1
APP_SYN_0078,Gujarat,Food Processing,10381680.53,590,4,12,2,0,4,0,Operation,Enterprise,Q3,UPPCB,45,52.6,1
APP_SYN_0079,Gujarat,Food Processing,5589909.93,41,5,15,4,0,1,2,Pre-Establishment,MSME,Q3,CEIG,20,29.5,1
APP_SYN_0080,Tamil Nadu,Manufacturing,6112761.55,84,5,25,2,1,1,2,Pre-Operation,MSME,Q1,CEIG,30,44.8,1
APP_SYN_0081,Gujarat,Manufacturing,4715217.19,57,3,12,1,0,2,0,Pre-Operation,MSME,Q3,CEIG,15,14.9,0
APP_SYN_0082,Uttar Pradesh,Manufacturing,4213387.07,34,3,12,0,1,1,2,Pre-Establishment,MSME,Q4,CEIG,15,16.8,1
APP_SYN_0083,Tamil Nadu,Textiles,5994636.67,69,3,12,2,1,3,3,Pre-Establishment,MSME,Q1,FSSAI,30,44.1,1
APP_SYN_0084,Uttar Pradesh,Chemicals,18857461.39,62,3,12,0,1,2,0,Pre-Establishment,MSME,Q2,Boilers Directorate,45,40.2,0
APP_SYN_0085,Maharashtra,Chemicals,25754546.63,431,7,21,3,0,5,1,Pre-Establishment,Enterprise,Q3,Legal Metrology,20,31.1,1
APP_SYN_0086,Uttar Pradesh,Information Technology,12911313.73,320,7,35,3,0,5,2,Pre-Operation,Enterprise,Q3,UP Fire Service,30,55.0,1
APP_SYN_0087,Karnataka,Chemicals,122580877.03,202,9,45,0,1,3,0,Pre-Operation,Enterprise,Q4,FSSAI,15,16.8,1
APP_SYN_0088,Maharashtra,Food Processing,25913071.93,86,4,12,2,1,1,0,Pre-Operation,MSME,Q4,Directorate of Factories,20,22.8,1
APP_SYN_0089,Uttar Pradesh,Food Processing,17943143.84,78,3,12,0,1,1,0,Operation,MSME,Q4,Legal Metrology,30,29.6,0
APP_SYN_0090,Uttar Pradesh,Food Processing,7142067.47,65,4,16,1,1,3,1,Operation,MSME,Q2,UP Fire Service,20,24.3,1
APP_SYN_0091,Tamil Nadu,Information Technology,267379658.88,257,7,28,2,0,3,0,Pre-Operation,Enterprise,Q3,Directorate of Factories,15,18.1,1
APP_SYN_0092,Uttar Pradesh,Textiles,9802769.37,405,8,24,2,0,5,0,Pre-Operation,Enterprise,Q1,CEIG,30,41.9,1
APP_SYN_0093,Gujarat,Food Processing,1737765.73,15,1,5,0,1,1,1,Operation,Individual,Q3,FSSAI,30,26.9,0
APP_SYN_0094,Uttar Pradesh,Food Processing,1375972.2,4,2,6,0,1,1,0,Pre-Establishment,Individual,Q4,UP Fire Service,30,30.1,1
APP_SYN_0095,Gujarat,Information Technology,14607731.61,30,5,25,1,0,2,0,Pre-Establishment,MSME,Q3,CEIG,20,19.3,0
APP_SYN_0096,Uttar Pradesh,Manufacturing,13510970.73,74,2,6,3,0,2,1,Pre-Establishment,MSME,Q2,Boilers Directorate,20,22.5,1
APP_SYN_0097,Karnataka,Food Processing,1008398.5,98,2,6,0,1,1,1,Operation,MSME,Q3,UP Fire Service,15,15.4,1
APP_SYN_0098,Uttar Pradesh,Food Processing,56161493.28,205,10,40,0,0,4,0,Pre-Operation,Enterprise,Q1,UPPCB,15,14.9,0
APP_SYN_0099,Maharashtra,Information Technology,4629708.62,55,5,15,0,0,2,0,Pre-Establishment,MSME,Q2,CEIG,20,16.5,0
APP_SYN_0100,Rajasthan,Manufacturing,2297998.35,49,5,20,1,0,2,0,Pre-Establishment,MSME,Q3,FSSAI,30,29.7,0
APP_SYN_0101,Uttar Pradesh,Food Processing,5171623.51,34,3,9,2,1,2,1,Operation,MSME,Q1,Boilers Directorate,15,19.5,1
APP_SYN_0102,Karnataka,Pharmaceuticals,1989732.81,2,2,8,0,1,1,3,Pre-Operation,Individual,Q2,CEIG,30,39.6,1
APP_SYN_0103,Uttar Pradesh,Food Processing,36021629.96,531,5,15,0,1,2,0,Pre-Establishment,Enterprise,Q2,Legal Metrology,20,19.5,0
APP_SYN_0104,Gujarat,Food Processing,87517645.55,466,4,12,0,0,4,0,Pre-Operation,Enterprise,Q3,CEIG,15,11.2,0
APP_SYN_0105,Gujarat,Chemicals,3747519.0,30,2,8,0,0,1,0,Pre-Operation,MSME,Q4,UP Fire Service,20,15.6,0
APP_SYN_0106,Maharashtra,Textiles,11221058.26,19,2,10,0,1,2,0,Pre-Operation,MSME,Q1,Boilers Directorate,15,13.3,0
APP_SYN_0107,Maharashtra,Food Processing,1167432.52,40,3,9,4,1,2,0,Pre-Establishment,MSME,Q3,FSSAI,15,23.4,1
APP_SYN_0108,Tamil Nadu,Chemicals,2790978.66,58,2,8,0,0,1,1,Pre-Establishment,MSME,Q1,UP Fire Service,20,16.1,0
APP_SYN_0109,Maharashtra,Chemicals,6207128.96,53,3,9,0,1,3,2,Pre-Operation,MSME,Q1,CEIG,30,35.6,1
APP_SYN_0110,Karnataka,Chemicals,8058511.22,37,6,24,0,1,1,1,Pre-Establishment,MSME,Q1,Boilers Directorate,20,19.1,0
APP_SYN_0111,Uttar Pradesh,Manufacturing,20538739.43,46,6,18,1,1,3,0,Pre-Operation,MSME,Q2,Directorate of Factories,15,18.6,1
APP_SYN_0112,Gujarat,Manufacturing,2234161.56,45,5,15,2,1,1,0,Pre-Establishment,MSME,Q4,CEIG,30,33.3,1
APP_SYN_0113,Uttar Pradesh,Manufacturing,1623881.83,39,3,12,0,1,3,0,Pre-Operation,MSME,Q2,Directorate of Factories,60,49.6,0
APP_SYN_0114,Gujarat,Chemicals,831961.81,27,5,20,4,1,3,0,Pre-Establishment,MSME,Q2,UPPCB,30,44.1,1
APP_SYN_0115,Maharashtra,Manufacturing,62668058.48,558,9,27,0,0,5,0,Pre-Establishment,Enterprise,Q1,CEIG,20,21.4,1
APP_SYN_0116,Uttar Pradesh,Manufacturing,7219099.6,64,6,30,0,1,2,1,Pre-Operation,MSME,Q2,FSSAI,30,35.7,1
APP_SYN_0117,Maharashtra,Textiles,3808370.09,82,5,20,2,0,2,2,Pre-Establishment,MSME,Q2,UPPCB,45,54.3,1
APP_SYN_0118,Maharashtra,Manufacturing,2298825.89,12,6,18,0,0,2,1,Pre-Operation,MSME,Q3,Directorate of Factories,15,14.4,0
APP_SYN_0119,Maharashtra,Information Technology,1432388.24,35,4,20,0,0,1,0,Operation,MSME,Q3,Legal Metrology,30,27.2,0
APP_SYN_0120,Gujarat,Food Processing,3056248.96,11,5,25,0,0,1,0,Pre-Operation,MSME,Q1,UPPCB,15,12.1,0
APP_SYN_0121,Gujarat,Chemicals,12666329.99,204,7,28,0,0,3,3,Pre-Operation,Enterprise,Q3,Legal Metrology,15,20.8,1
APP_SYN_0122,Uttar Pradesh,Manufacturing,7771936.17,17,6,24,1,0,2,0,Pre-Operation,MSME,Q3,UP Fire Service,15,13.7,0
APP_SYN_0123,Uttar Pradesh,Food Processing,3946433.09,86,4,12,0,1,1,1,Pre-Operation,MSME,Q4,Boilers Directorate,45,47.5,1
APP_SYN_0124,Rajasthan,Chemicals,53364650.92,281,8,40,0,0,5,0,Pre-Establishment,Enterprise,Q4,CEIG,15,15.8,1
APP_SYN_0125,Tamil Nadu,Manufacturing,3323499.14,76,2,10,1,1,2,0,Operation,MSME,Q4,UPPCB,15,16.4,1
APP_SYN_0126,Maharashtra,Manufacturing,630332.94,5,2,8,1,0,1,0,Pre-Operation,Individual,Q4,Boilers Directorate,15,11.1,0
APP_SYN_0127,Rajasthan,Food Processing,29787164.73,431,7,21,1,1,3,0,Pre-Operation,Enterprise,Q2,Boilers Directorate,60,67.5,1
APP_SYN_0128,Karnataka,Food Processing,334206659.06,275,6,30,0,1,3,0,Operation,Enterprise,Q1,Boilers Directorate,20,21.0,1
APP_SYN_0129,Maharashtra,Manufacturing,5195458.18,25,4,16,2,1,2,2,Pre-Establishment,MSME,Q4,CEIG,20,32.9,1
APP_SYN_0130,Karnataka,Manufacturing,15635872.55,284,4,12,1,0,3,1,Pre-Operation,Enterprise,Q3,Boilers Directorate,15,17.9,1
APP_SYN_0131,Rajasthan,Manufacturing,10249675.97,7,4,12,0,1,3,2,Pre-Establishment,MSME,Q2,Directorate of Factories,20,24.9,1
APP_SYN_0132,Uttar Pradesh,Manufacturing,18440129.11,540,4,12,1,1,3,0,Pre-Operation,Enterprise,Q3,UPPCB,20,22.0,1
APP_SYN_0133,Karnataka,Manufacturing,19650071.17,467,8,40,1,1,2,0,Pre-Establishment,Enterprise,Q2,FSSAI,20,23.1,1
APP_SYN_0134,Uttar Pradesh,Manufacturing,56770124.94,454,5,20,0,1,3,0,Pre-Operation,Enterprise,Q2,Directorate of Factories,30,26.2,0
APP_SYN_0135,Maharashtra,Manufacturing,28041689.21,38,3,15,0,0,3,1,Pre-Establishment,MSME,Q3,FSSAI,15,16.8,1
APP_SYN_0136,Gujarat,Textiles,2162225.79,59,2,6,0,0,2,0,Operation,MSME,Q4,Directorate of Factories,30,24.6,0
APP_SYN_0137,Rajasthan,Information Technology,4074710.46,74,5,25,1,0,3,0,Pre-Operation,MSME,Q4,FSSAI,20,21.3,1
APP_SYN_0138,Uttar Pradesh,Food Processing,7229147.26,475,6,24,2,1,3,0,Pre-Establishment,Enterprise,Q1,Legal Metrology,30,39.2,1
APP_SYN_0139,Maharashtra,Manufacturing,541974.3,61,5,15,0,1,2,0,Pre-Establishment,MSME,Q3,Boilers Directorate,30,28.3,0
APP_SYN_0140,Gujarat,Information Technology,2670066.48,96,3,15,0,0,2,0,Pre-Establishment,MSME,Q2,Legal Metrology,20,13.9,0
APP_SYN_0141,Uttar Pradesh,Food Processing,1315508.73,19,3,15,2,0,3,2,Operation,MSME,Q4,UP Fire Service,30,38.3,1
APP_SYN_0142,Gujarat,Manufacturing,3451001.72,93,6,18,0,0,1,0,Operation,MSME,Q3,UP Fire Service,20,14.5,0
APP_SYN_0143,Tamil Nadu,Manufacturing,4254836.99,90,2,8,0,1,1,0,Pre-Operation,MSME,Q2,FSSAI,15,12.8,0
APP_SYN_0144,Tamil Nadu,Chemicals,8844650.83,92,5,20,4,1,3,0,Pre-Operation,MSME,Q4,Directorate of Factories,20,35.7,1
APP_SYN_0145,Tamil Nadu,Manufacturing,16574358.65,430,4,16,1,1,4,0,Pre-Operation,Enterprise,Q3,CEIG,15,19.0,1
APP_SYN_0146,Uttar Pradesh,Food Processing,5478633.04,476,6,30,0,0,2,0,Pre-Establishment,Enterprise,Q3,FSSAI,20,15.7,0
APP_SYN_0147,Karnataka,Food Processing,13293647.53,517,9,36,0,1,5,2,Pre-Establishment,Enterprise,Q3,Legal Metrology,20,28.0,1
APP_SYN_0148,Rajasthan,Food Processing,3469242.2,98,4,20,0,1,1,0,Pre-Establishment,MSME,Q1,FSSAI,60,56.1,0
APP_SYN_0149,Gujarat,Manufacturing,115947428.81,431,9,45,0,1,2,1,Pre-Establishment,Enterprise,Q3,Directorate of Factories,20,27.4,1
APP_SYN_0150,Gujarat,Food Processing,36687541.71,180,7,28,0,1,5,2,Pre-Operation,Enterprise,Q4,UPPCB,15,17.5,1
APP_SYN_0151,Uttar Pradesh,Food Processing,14270810.95,26,2,10,2,0,1,0,Pre-Establishment,MSME,Q2,Directorate of Factories,30,34.6,1
APP_SYN_0152,Uttar Pradesh,Food Processing,86968996.3,192,10,50,1,0,2,1,Pre-Establishment,Enterprise,Q2,UPPCB,45,46.4,1
APP_SYN_0153,Uttar Pradesh,Chemicals,28306529.83,599,9,27,0,0,5,3,Pre-Establishment,Enterprise,Q3,UPPCB,15,18.8,1
APP_SYN_0154,Uttar Pradesh,Food Processing,926219.62,19,1,4,1,1,1,3,Pre-Operation,Individual,Q3,Legal Metrology,30,42.5,1
APP_SYN_0155,Maharashtra,Manufacturing,28279891.18,514,9,27,0,0,2,0,Pre-Operation,Enterprise,Q4,Legal Metrology,20,17.2,0
APP_SYN_0156,Uttar Pradesh,Textiles,2126918.03,9,2,10,1,0,1,2,Pre-Establishment,Individual,Q4,UP Fire Service,20,25.8,1
APP_SYN_0157,Uttar Pradesh,Food Processing,2823496.35,48,2,6,0,0,1,2,Pre-Operation,MSME,Q1,CEIG,15,12.7,0
APP_SYN_0158,Rajasthan,Food Processing,2199326.8,23,3,12,1,1,1,0,Pre-Operation,MSME,Q2,FSSAI,30,29.1,0
APP_SYN_0159,Uttar Pradesh,Manufacturing,7567606.61,38,4,12,0,1,3,0,Pre-Establishment,MSME,Q1,Directorate of Factories,20,19.5,0
APP_SYN_0160,Uttar Pradesh,Manufacturing,1749684.47,39,6,18,0,1,1,0,Pre-Establishment,MSME,Q4,UP Fire Service,30,28.3,0
APP_SYN_0161,Karnataka,Food Processing,3588467.28,13,6,18,2,1,1,2,Pre-Operation,MSME,Q4,Legal Metrology,30,42.6,1
APP_SYN_0162,Uttar Pradesh,Textiles,4010172.91,23,5,15,0,0,1,0,Pre-Establishment,MSME,Q3,Legal Metrology,30,20.0,0
APP_SYN_0163,Rajasthan,Textiles,3986418.92,72,2,8,0,0,2,0,Operation,MSME,Q2,CEIG,45,37.7,0
APP_SYN_0164,Uttar Pradesh,Food Processing,10295200.89,81,3,12,0,0,2,0,Pre-Operation,MSME,Q1,UPPCB,15,12.2,0
APP_SYN_0165,Gujarat,Textiles,38651378.88,468,6,30,1,0,2,0,Pre-Operation,Enterprise,Q2,UP Fire Service,30,28.5,0
APP_SYN_0166,Uttar Pradesh,Textiles,208655561.92,424,4,16,2,0,2,1,Pre-Operation,Enterprise,Q2,Directorate of Factories,30,32.6,1
APP_SYN_0167,Tamil Nadu,Pharmaceuticals,4334244.35,37,3,15,0,1,1,0,Pre-Operation,MSME,Q4,UP Fire Service,15,13.4,0
APP_SYN_0168,Uttar Pradesh,Manufacturing,1401774.44,42,6,24,0,1,2,0,Pre-Operation,MSME,Q3,Directorate of Factories,20,18.6,0
APP_SYN_0169,Uttar Pradesh,Manufacturing,5021853.43,55,3,15,0,1,2,0,Operation,MSME,Q3,Legal Metrology,30,27.7,0
APP_SYN_0170,Uttar Pradesh,Manufacturing,2704317.41,63,5,15,4,1,1,3,Pre-Operation,MSME,Q2,FSSAI,20,34.2,1
APP_SYN_0171,Maharashtra,Food Processing,64912054.46,546,8,40,0,1,3,0,Pre-Establishment,Enterprise,Q3,UP Fire Service,20,23.1,1
APP_SYN_0172,Maharashtra,Food Processing,51788340.02,214,10,30,0,1,2,0,Pre-Operation,Enterprise,Q3,FSSAI,60,66.0,1
APP_SYN_0173,Tamil Nadu,Textiles,28757617.25,233,7,28,0,1,2,3,Pre-Operation,Enterprise,Q1,Legal Metrology,20,25.6,1
APP_SYN_0174,Uttar Pradesh,Chemicals,45754869.28,27,4,12,0,1,3,2,Pre-Operation,MSME,Q4,Legal Metrology,20,26.3,1
APP_SYN_0175,Uttar Pradesh,Manufacturing,113717222.14,196,10,50,0,1,3,1,Pre-Operation,Enterprise,Q3,Boilers Directorate,45,51.7,1
APP_SYN_0176,Uttar Pradesh,Manufacturing,27536846.72,253,5,25,0,1,2,0,Pre-Operation,Enterprise,Q2,UP Fire Service,60,49.5,0
APP_SYN_0177,Gujarat,Chemicals,8137830.17,41,6,18,1,1,1,1,Pre-Establishment,MSME,Q1,FSSAI,15,18.0,1
APP_SYN_0178,Maharashtra,Food Processing,2859233.28,64,6,24,0,0,1,2,Pre-Operation,MSME,Q2,Directorate of Factories,30,28.2,0
APP_SYN_0179,Uttar Pradesh,Chemicals,11817018.57,35,5,25,0,0,2,0,Pre-Establishment,MSME,Q2,UP Fire Service,20,18.1,0
APP_SYN_0180,Uttar Pradesh,Manufacturing,17627854.29,35,2,10,2,1,2,2,Pre-Operation,MSME,Q2,CEIG,30,40.0,1
APP_SYN_0181,Gujarat,Manufacturing,12586909.79,81,4,16,0,0,3,2,Pre-Operation,MSME,Q1,Boilers Directorate,30,39.5,1
